Marysville,Washington,63269
Perris,California,72326
Cleveland,Ohio,390113
Worcester,Massachusetts,182544
Columbia,South Carolina,133358
Waterbury,Connecticut,109676
Eagan,Minnesota,65453
Southfield,Michigan,73006
Lafayette,Louisiana,124276
Boise City,Idaho,214237
Elkhart,Indiana,51265
Buena Park,California,82882
Marietta,Georgia,59089
Parker,Colorado,48608
West Palm Beach,Florida,102436
Salem,Massachusetts,42544
Aurora,Illinois,199963
Leesburg,Virginia,47673
Doral,Florida,50213
Westminster,California,91739
Lubbock,Texas,239538
Overland Park,Kansas,181260
Jackson,Mississippi,172638
Gastonia,North Carolina,73209
Daytona Beach,Florida,62316
Kansas City,Missouri,467007
Rancho Palos Verdes,California,42448
Burnsville,Minnesota,61434
Rowlett,Texas,58043
Roswell,New Mexico,48611
Montgomery,Alabama,201332
Logan,Utah,48913
Woburn,Massachusetts,39083
Allentown,Pennsylvania,118577
Mount Pleasant,South Carolina,74885
Columbus,Georgia,202824
Buffalo,New York,258959
New Berlin,Wisconsin,39834
North Richland Hills,Texas,67317
Lima,Ohio,38355
Sacramento,California,479686
Fort Smith,Arkansas,87650
East Providence,Rhode Island,47149
Urbandale,Iowa,41776
Mount Vernon,New York,68224
Lakewood,Colorado,147214
Henderson,Nevada,270811
Covina,California,48508
Stamford,Connecticut,126456
Bloomington,Indiana,82575
Kingsport,Tennessee,52962
Spokane,Washington,210721
Kennewick,Washington,76762
Philadelphia,Pennsylvania,1553165
Bellingham,Washington,82631
Visalia,California,127763
La Crosse,Wisconsin,51522
Council Bluffs,Iowa,61969
North Lauderdale,Florida,42757
Dallas,Texas,1257676
Antioch,California,107100
Sterling Heights,Michigan,131224
Deerfield Beach,Florida,78041
Fishers,Indiana,83891
Cheyenne,Wyoming,62448
Murrieta,California,107479
Lenexa,Kansas,50344
Noblesville,Indiana,56540
Southaven,Mississippi,50997
Chino,California,80988
Gaithersburg,Maryland,65690
Fountain Valley,California,56707
Frederick,Maryland,66893
Greenville,North Carolina,89130
DeKalb,Illinois,43849
West Allis,Wisconsin,60697
Thornton,Colorado,127359
West Des Moines,Iowa,61255
Fall River,Massachusetts,88697
Tulare,California,61170
Chula Vista,California,256780
Coral Springs,Florida,126604
Concord,North Carolina,83506
Smyrna,Georgia,53438
Apopka,Florida,45587
Grand Forks,North Dakota,54932
Lancaster,Ohio,39325
Naperville,Illinois,144864
Hollywood,Florida,146526
Rogers,Arkansas,60112
New Orleans,Louisiana,378715
Lakewood,Washington,59097
Oak Lawn,Illinois,57073
Caldwell,Idaho,48957
Portland,Oregon,609456
Concord,California,125880
Burien,Washington,49858
St. Charles,Missouri,67569
Waukesha,Wisconsin,71016
Flagstaff,Arizona,68667
